ID,Pop,Teff,logg,__Fe_H_,__a_Fe_,z,mass,EW,A_Li_LTE,A_Li,Note
BD-21 3420,C,5908,4.26,-1.13,0.31,0.0024,0.77,21.2,1.95,1.92,
CD-33 3337,C,6079,3.86,-1.36,0.3,0.0014,0.85,39.2,2.37,2.32,
CD-43 6810,A,6045,4.26,-0.43,0.23,0.0105,0.99, < 1.0, < 0.72, < 0.70,
CD-45 3283,B,5697,4.55,-0.91,0.12,0.0029,0.79, < 1.0, < 0.43, < 0.43,
CD-51 4628,B,6253,4.31,-1.3,0.22,0.0014,0.85,29.7,2.36,2.29,
CD-57 1633,B,5973,4.28,-0.9,0.07,0.0028,0.81,30.5,2.19,2.15,
CD-61 282,B,5859,4.31,-1.23,0.22,0.0016,0.73,36.7,2.18,2.14,
G05-19,B,5954,4.26,-1.18,0.19,0.0017,0.76,32.7,2.2,2.15,
G05-36,A,6113,4.23,-1.23,0.35,0.002,0.83,41.6,2.43,2.37,
G05-40,A,5895,4.17,-0.81,0.31,0.0049,0.83,13.5,1.74,1.72,
G13-38,A,5363,4.54,-0.88,0.32,0.0044,0.73, < 3.0, < 0.58, < 0.61,
G15-23,A,5397,4.57,-1.1,0.34,0.0028,0.71, < 3.0, < 0.61, < 0.63,
G16-20,B,5725,3.64,-1.42,0.26,0.0011,0.85,38.8,2.1,2.07,
G18-28,A,5472,4.41,-0.83,0.31,0.0048,0.72, < 2.0, < 0.51, < 0.53,SB1 
G18-39,A,6140,4.21,-1.39,0.34,0.0014,0.8,30.6,2.29,2.23,
G20-15,B,6127,4.32,-1.49,0.24,0.001,0.78,34.1,2.33,2.27,
G21-22,B,6001,4.24,-1.09,0.09,0.0018,0.78,37.9,2.31,2.25,
G24-13,A,5773,4.31,-0.72,0.29,0.0059,0.82, < 3.0, < 0.97, < 0.97,
G24-25,A,5928,3.86,-1.4,0.35,0.0014,0.81, < 2.0, < 0.90, < 0.87,SB1 
G31-55,A,5738,4.3,-1.1,0.29,0.0025,0.72,10.9,1.51,1.49,
G46-31,B,6001,4.23,-0.83,0.15,0.0037,0.83,26.1,2.14,2.1,SB1 
G49-19,A,5872,4.25,-0.55,0.27,0.0085,0.89,4.5,1.23,1.23,SB1 
G53-41,B,5959,4.27,-1.2,0.23,0.0018,0.76,27.2,2.11,2.06,
G56-30,B,5930,4.26,-0.89,0.11,0.003,0.8,29.5,2.14,2.1,
G56-36,B,6033,4.28,-0.94,0.2,0.0032,0.84,24.1,2.12,2.07,
G57-07,A,5776,4.25,-0.47,0.31,0.0107,0.9, < 2.0, < 0.80, < 0.81,
G63-26,A,6143,4.18,-1.56,0.37,0.001,0.78,46.8,2.5,2.43,
G66-22,B,5336,4.41,-0.86,0.12,0.0033,0.64,10.8,1.12,1.16,
G74-32,A,5872,4.36,-0.72,0.3,0.006,0.86, < 3.0, < 1.05, < 1.04,
G75-31,B,6110,4.02,-1.03,0.2,0.0025,0.87,40.1,2.42,2.36,
G81-02,A,5959,4.19,-0.69,0.19,0.0054,0.86,25.2,2.09,2.06,
G82-05,B,5377,4.45,-0.75,0.09,0.004,0.68,8.6,1.04,1.08,
G85-13,A,5728,4.38,-0.59,0.28,0.0079,0.86, < 2.0, < 0.75, < 0.76,
G87-13,B,6185,4.13,-1.09,0.2,0.0022,0.86,44.1,2.52,2.45,
G94-49,A,5473,4.5,-0.8,0.31,0.0051,0.76, < 3.0, < 0.69, < 0.71,
G96-20,A,6393,4.41,-0.89,0.28,0.004,1, < 2.0, < 1.26, < 1.21,
G98-53,B,5948,4.23,-0.87,0.19,0.0035,0.81,23.6,2.04,2.01,
G99-21,A,5587,4.39,-0.67,0.29,0.0068,0.79, < 3.0, < 0.80, < 0.82,
G112-43,B,6174,4.03,-1.25,0.24,0.0016,0.84,41.9,2.48,2.41,
G112-44,B,5919,4.25,-1.29,0.22,0.0014,0.73,43.3,2.31,2.25,
G114-42,B,5743,4.38,-1.1,0.19,0.0021,0.72,24.3,1.88,1.86,
G119-64,B,6281,4.18,-1.48,0.28,0.001,0.82,32.3,2.41,2.35,
G121-12,B,6028,4.23,-0.93,0.1,0.0027,0.82,43,2.4,2.35,
G125-13,A,5948,4.28,-1.43,0.27,0.0011,0.73,38,2.26,2.2,
G127-26,A,5891,4.14,-0.53,0.24,0.0085,0.91,17.6,1.87,1.86,
G150-40,B,6068,4.09,-0.81,0.16,0.004,0.88,28.2,2.22,2.18,
G159-50,A,5724,4.37,-0.93,0.31,0.0038,0.76,5.2,1.16,1.16,
G161-73,B,6086,4,-1,0.16,0.0026,0.87,44.3,2.46,2.39,
G170-56,B,6094,4.12,-0.92,0.17,0.0031,0.86,32.9,2.31,2.26,
G172-61,B,5325,4.47,-1,0.19,0.0026,0.63, < 4.0, < 0.67, < 0.70,SB1 
G176-53,B,5623,4.48,-1.34,0.18,0.0012,0.67,24.6,1.79,1.77,
G180-24,A,6104,4.21,-1.39,0.33,0.0013,0.79,32.9,2.3,2.24,
G187-18,A,5707,4.39,-0.67,0.26,0.0065,0.82, < 2.0, < 0.73, < 0.74,
G188-22,A,6074,4.18,-1.32,0.35,0.0017,0.79,35.2,2.32,2.26,
G192-43,B,6270,4.29,-1.34,0.26,0.0014,0.85,28.9,2.35,2.29,
G232-18,A,5659,4.48,-0.93,0.32,0.0039,0.78, < 3.0, < 0.87, < 0.86,
HD3567,B,6151,4.02,-1.16,0.21,0.0019,0.85,38.3,2.42,2.36,
HD22879,C,5859,4.25,-0.85,0.31,0.0046,0.81,10.4,1.59,1.57,
HD25704,C,5968,4.26,-0.85,0.24,0.0041,0.83,21.5,2.02,1.98,D 
HD51754,A,5867,4.29,-0.58,0.26,0.0078,0.88,3.8,1.15,1.15,
HD59392,B,6112,3.91,-1.6,0.32,0.0008,0.8,39.2,2.38,2.33,
HD76932,C,5977,4.13,-0.87,0.29,0.0043,0.85,24.9,2.09,2.06,
HD97320,C,6108,4.19,-1.17,0.28,0.0021,0.82,39.7,2.41,2.35,
HD103723,B,6038,4.19,-0.8,0.14,0.0039,0.85,30.4,2.24,2.2,
HD105004,B,5854,4.3,-0.82,0.14,0.0036,0.79,19.3,1.88,1.86,
HD106516,C,6296,4.42,-0.68,0.29,0.0066,1.03, < 1.0, < 0.89, < 0.86,SB1 
HD111980,A,5878,3.96,-1.08,0.34,0.0028,0.82,49,2.35,2.3,SB1 
HD113679,A,5772,3.99,-0.65,0.32,0.0074,0.88,34,2.08,2.07,
HD114762A,C,5956,4.21,-0.7,0.24,0.0056,0.87,25.5,2.09,2.06,SB1 
HD120559,C,5512,4.5,-0.89,0.3,0.0041,0.74, < 2.0, < 0.55, < 0.57,
HD121004,A,5769,4.37,-0.7,0.32,0.0065,0.84, < 3.0, < 0.96, < 0.96,
HD126681,C,5607,4.45,-1.17,0.35,0.0023,0.71,14.5,1.52,1.51,
HD132475,A,5746,3.76,-1.49,0.38,0.0012,0.78,53.4,2.28,2.23,
HD148816,A,5923,4.13,-0.73,0.27,0.0056,0.86,18.9,1.92,1.9,
HD159482,A,5837,4.31,-0.73,0.3,0.006,0.83, < 2.0, < 0.85, < 0.84,D 
HD160693,A,5814,4.27,-0.49,0.19,0.0087,0.87,6.4,1.34,1.35,
HD163810,B,5601,4.56,-1.2,0.21,0.0017,0.73,22.3,1.72,1.71,D 
HD175179,C,5813,4.33,-0.65,0.29,0.0069,0.85, < 2.0, < 0.83, < 0.83,
HD177095,A,5449,4.39,-0.74,0.31,0.006,0.73, < 3.0, < 0.67, < 0.70,
HD179626,A,5950,4.13,-1.04,0.31,0.003,0.8,24.1,2.05,2.01,
HD189558,C,5717,3.8,-1.12,0.33,0.0025,0.83,58.9,2.31,2.27,
HD193901,B,5756,4.36,-1.09,0.16,0.002,0.72,28.1,1.97,1.94,
HD194598,B,6042,4.33,-1.09,0.18,0.0021,0.82,32.9,2.27,2.21,
HD199289,C,5910,4.28,-1.04,0.3,0.0029,0.79,17.9,1.88,1.84,
HD205650,C,5798,4.32,-1.17,0.3,0.0021,0.73,14.8,1.7,1.67,
HD219617,B,5962,4.28,-1.45,0.28,0.0011,0.73,37.3,2.26,2.2,D 
HD222766,A,5434,4.27,-0.67,0.3,0.0069,0.72, < 2.0, < 0.47, < 0.51,
HD230409,A,5418,4.54,-0.85,0.27,0.0043,0.74, < 2.0, < 0.46, < 0.49,
HD233511,A,6106,4.23,-1.55,0.34,0.001,0.76,33,2.3,2.24,
HD237822,A,5703,4.33,-0.45,0.29,0.011,0.9, < 2.0, < 0.73, < 0.75,
HD241253,C,5931,4.31,-1.1,0.29,0.0025,0.79,19.3,1.93,1.89,
HD250792A,B,5589,4.47,-1.01,0.24,0.0028,0.72,15.6,1.54,1.54,D 
HD284248,B,6235,4.25,-1.57,0.27,0.0008,0.8,31.5,2.36,2.3,